source	site	layer	kind	position	label	l0
addsub-05-filter-integers	layers.20.mlp.up_proj	20	mlp.up_proj	3	b	3.1548
addsub-05-filter-integers	layers.20.mlp.up_proj	20	mlp.up_proj	4	=	7.2842
addsub-05-filter-integers	layers.20.self_attn.k_proj	20	self_attn.k_proj	0	<BOS>	1.0000
addsub-05-filter-integers	layers.20.self_attn.k_proj	20	self_attn.k_proj	1	a	1.0197
addsub-05-filter-integers	layers.20.self_attn.k_proj	20	self_attn.k_proj	2	op	1.1410
addsub-05-filter-integers	layers.20.self_attn.k_proj	20	self_attn.k_proj	3	b	1.0040
addsub-05-filter-integers	layers.20.self_attn.k_proj	20	self_attn.k_proj	4	=	0.0365
addsub-05-filter-integers	layers.20.self_attn.o_proj	20	self_attn.o_proj	0	<BOS>	0.0000
addsub-05-filter-integers	layers.20.self_attn.o_proj	20	self_attn.o_proj	1	a	0.9590
addsub-05-filter-integers	layers.20.self_attn.o_proj	20	self_attn.o_proj	2	op	1.0317
addsub-05-filter-integers	layers.20.self_attn.o_proj	20	self_attn.o_proj	3	b	0.9030
addsub-05-filter-integers	layers.20.self_attn.o_proj	20	self_attn.o_proj	4	=	1.0938
addsub-05-filter-integers	layers.20.self_attn.q_proj	20	self_attn.q_proj	0	<BOS>	0.0000
addsub-05-filter-integers	layers.20.self_attn.q_proj	20	self_attn.q_proj	1	a	1.0085
addsub-05-filter-integers	layers.20.self_attn.q_proj	20	self_attn.q_proj	2	op	1.1413
addsub-05-filter-integers	layers.20.self_attn.q_proj	20	self_attn.q_proj	3	b	1.5735
addsub-05-filter-integers	layers.20.self_attn.q_proj	20	self_attn.q_proj	4	=	1.4167
addsub-05-filter-integers	layers.20.self_attn.v_proj	20	self_attn.v_proj	0	<BOS>	1.0000
addsub-05-filter-integers	layers.20.self_attn.v_proj	20	self_attn.v_proj	1	a	1.5553
addsub-05-filter-integers	layers.20.self_attn.v_proj	20	self_attn.v_proj	2	op	0.9420
addsub-05-filter-integers	layers.20.self_attn.v_proj	20	self_attn.v_proj	3	b	1.0870
addsub-05-filter-integers	layers.20.self_attn.v_proj	20	self_attn.v_proj	4	=	0.0000
addsub-05-filter-integers	layers.21.mlp.down_proj	21	mlp.down_proj	0	<BOS>	1.0000
addsub-05-filter-integers	layers.21.mlp.down_proj	21	mlp.down_proj	1	a	4.1677
addsub-05-filter-integers	layers.21.mlp.down_proj	21	mlp.down_proj	2	op	4.1933
addsub-05-filter-integers	layers.21.mlp.down_proj	21	mlp.down_proj	3	b	5.1877
addsub-05-filter-integers	layers.21.mlp.down_proj	21	mlp.down_proj	4	=	7.3870
addsub-05-filter-integers	layers.21.mlp.gate_proj	21	mlp.gate_proj	0	<BOS>	2.0000
addsub-05-filter-integers	layers.21.mlp.gate_proj	21	mlp.gate_proj	1	a	3.0880
addsub-05-filter-integers	layers.21.mlp.gate_proj	21	mlp.gate_proj	2	op	2.8093
addsub-05-filter-integers	layers.21.mlp.gate_proj	21	mlp.gate_proj	3	b	4.0967
addsub-05-filter-integers	layers.21.mlp.gate_proj	21	mlp.gate_proj	4	=	5.7420
addsub-05-filter-integers	layers.21.mlp.up_proj	21	mlp.up_proj	0	<BOS>	2.0000
addsub-05-filter-integers	layers.21.mlp.up_proj	21	mlp.up_proj	1	a	2.4005
addsub-05-filter-integers	layers.21.mlp.up_proj	21	mlp.up_proj	2	op	3.1055
addsub-05-filter-integers	layers.21.mlp.up_proj	21	mlp.up_proj	3	b	2.8347
addsub-05-filter-integers	layers.21.mlp.up_proj	21	mlp.up_proj	4	=	6.2733
addsub-05-filter-integers	layers.21.self_attn.k_proj	21	self_attn.k_proj	0	<BOS>	1.0000
addsub-05-filter-integers	layers.21.self_attn.k_proj	21	self_attn.k_proj	1	a	1.0000
addsub-05-filter-integers	layers.21.self_attn.k_proj	21	self_attn.k_proj	2	op	1.0002
addsub-05-filter-integers	layers.21.self_attn.k_proj	21	self_attn.k_proj	3	b	0.7730
