site	layer	kind	component	alive_start	alive_answer-ce	max_ci_answer-ce	alive_integers	max_ci_integers	alive_last-pos-ceiling	max_ci_last-pos-ceiling	effect_run	effect_run_add	effect_run_sub	impairs_frac_run	impairs_frac_run_add	impairs_frac_run_sub	active_frac_run	ablated_dscore_run	ablated_dacc_run	swept_dkl_run	swept_dinteger_kl_run	swept_danswer_ce_run	swept_daccuracy_run	effect_answer-ce	effect_answer-ce_add	effect_answer-ce_sub	impairs_frac_answer-ce	impairs_frac_answer-ce_add	impairs_frac_answer-ce_sub	active_frac_answer-ce	ablated_dscore_answer-ce	ablated_dacc_answer-ce	swept_dkl_answer-ce	swept_dinteger_kl_answer-ce	swept_danswer_ce_answer-ce	swept_daccuracy_answer-ce	effect_integers	effect_integers_add	effect_integers_sub	impairs_frac_integers	impairs_frac_integers_add	impairs_frac_integers_sub	active_frac_integers	ablated_dscore_integers	ablated_dacc_integers	swept_dkl_integers	swept_dinteger_kl_integers	swept_danswer_ce_integers	swept_daccuracy_integers
layers.0.mlp.down_proj	0	mlp.down_proj	55	1	1	1	1	1	1	1	-0.00208743	-0.00170059	-0.00247426	0.0461	0.0202	0.072	0.19			8.71122e-05	0.000192676	0.00225186	0	-0.000334782	-6.73634e-05	-0.000602201				0.19			-0.0162139	-0.0134737	0.000942886	0	-0.0018255	-0.00165301	-0.00199799	0.0467	0.0181	0.0753	0.19			0.000204615	0.000295401	0.00347281	0
layers.0.mlp.down_proj	0	mlp.down_proj	58	1	1	1	1	1	1	1	0.000113502	-0.000330991	0.000557995	0.0633	0.0321	0.0945	0.1164			9.66042e-05	0.000138853	-0.000341177	0	-2.74254e-05	-0.000109881	5.50299e-05				0.1164			-0.00118065	-0.000843763	0.000114918	0	0.000118207	-0.000270402	0.000506816	0.06485	0.0366	0.0931	0.1164			7.84993e-05	7.62194e-05	8.53539e-05	0
layers.0.mlp.down_proj	0	mlp.down_proj	59	1	1	1	1	1	1	1	-0.000717064	-0.00058438	-0.000849748	0.1064	0.1024	0.1104	0.2389			0.0001125	0.000174858	0.000122309	0	-0.000160406	-6.73094e-05	-0.000253503				0.2369			-0.00361872	-0.00371003	0.000334859	0	-0.000656403	-0.000580607	-0.000732199	0.1095	0.1048	0.1142	0.2387			0.000219613	0.000321642	0.00205564	0
layers.0.mlp.down_proj	0	mlp.down_proj	60	1	1	1	1	1	1	1	-7.98441e-05	-1.38195e-05	-0.000145869	0.04225	0.0477	0.0368	0.09645			2.37636e-05	2.3026e-05	0.000396013	0	-4.44637e-06	-1.7722e-06	-7.12054e-06				0.09555			-0.000190735	-9.27448e-05	-0.000176728	0	-7.00575e-05	-1.44882e-05	-0.000125627	0.0441	0.0509	0.0373	0.096			-3.91901e-06	3.71337e-05	0.000676632	-0.0078125
layers.0.mlp.down_proj	0	mlp.down_proj	61	1	1	1	1	1	1	1	-1.5199e-05	-1.07707e-05	-1.96273e-05	0.00575	0.003	0.0085	0.02985			1.22935e-05	1.30497e-05	0.000114202	0	-1.58414e-06	-8.09631e-07	-2.35864e-06				0.0296			1.7643e-05	0.000113726	-0.000135601	0	-1.25333e-05	-9.60336e-06	-1.54633e-05	0.00695	0.004	0.0099	0.0298			-5.45382e-06	5.58048e-06	-0.000129223	0
layers.0.mlp.down_proj	0	mlp.down_proj	62	1	1	1	1	1	1	1	-0.00137907	-0.00116824	-0.0015899	0.05865	0.0242	0.0931	0.1901			0.000104997	0.000150088	0.00146937	0	-0.000215733	-1.75333e-05	-0.000413932				0.19			-0.00782299	-0.00670338	0.000210345	0	-0.00122161	-0.00112511	-0.0013181	0.05875	0.0239	0.0936	0.19			5.21913e-05	0.000129573	0.00165129	-0.00390625
layers.0.mlp.down_proj	0	mlp.down_proj	63	1	1	1	1	1	1	1	-0.000805032	-0.00040972	-0.00120034	0.0555	0.0546	0.0564	0.1536			1.11759e-06	5.47096e-05	0.000707388	0	-3.69317e-05	-1.41152e-05	-5.97482e-05				0.1536			-0.0054884	-0.00438952	8.08835e-05	0	-0.000705228	-0.000409478	-0.00100098	0.0547	0.0547	0.0547	0.1536			9.41753e-05	0.000150368	0.00108576	-0.00390625
layers.0.mlp.down_proj	0	mlp.down_proj	66	1	1	1	1	1	1	1	0.000298188	-3.3815e-11	0.000596376	0.2948	0.0002	0.5893	0.4875			-4.16152e-05	-9.27784e-05	-0.00125384	0	5.58333e-05	0	0.000111667				0.486			0.0015173	0.00106978	0.00053525	0.0078125	0.000168861	0	0.000337722	0.2684	0	0.5368	0.4874			-9.26107e-06	-8.32751e-05	0.00191975	-0.00390625
layers.0.mlp.down_proj	0	mlp.down_proj	67	1	0	0	1	1	1	1	-1.20868e-06	1.0231e-07	-2.51966e-06	0.00435	0.0055	0.0032	0.01			-6.10203e-06	-1.24834e-05	-0.00014329	0	0	0	0				0			0	0	0	0	-1.04053e-06	3.08204e-08	-2.11188e-06	0.00445	0.0053	0.0036	0.01			-5.13196e-05	-4.89429e-05	-0.000217915	0
layers.0.mlp.down_proj	0	mlp.down_proj	69	1	1	1	1	1	1	1	-0.000407274	-0.000225804	-0.000588744	0.04235	0.0477	0.037	0.1351			2.5209e-05	6.5133e-05	0.000920534	0	-2.65545e-05	-2.18614e-05	-3.12476e-05				0.1351			2.00272e-05	1.78814e-05	-0.000210941	0	-0.000364998	-0.000201794	-0.000528202	0.0436	0.0514	0.0358	0.1351			1.90884e-05	4.55379e-05	-8.34465e-05	0
layers.0.mlp.down_proj	0	mlp.down_proj	72	1	1	1	1	1	1	1	-0.000436867	-0.000658392	-0.000215342	0.04335	0.0102	0.0765	0.1351			7.38129e-05	0.000115726	0.00101852	0	2.40326e-05	-2.84095e-05	7.64748e-05				0.1351			-0.00256872	-0.00179887	-0.000119567	0	-0.000385538	-0.000595591	-0.000175485	0.0438	0.0146	0.073	0.1351			9.94578e-05	0.000108421	0.000450611	0
layers.0.mlp.down_proj	0	mlp.down_proj	73	1	1	1	1	1	1	1	0.000137345	-0.000201967	0.000476657	0.0857	0.055	0.1164	0.1353			7.80448e-05	0.000122622	0.000346661	0	-3.61976e-05	-0.000107028	3.46332e-05				0.119			-0.00108433	-0.00103641	-0.000236571	0	0.000129714	-0.000164631	0.000424058	0.0874	0.0597	0.1151	0.1351			9.4302e-05	0.000144765	0.000672817	0
layers.0.mlp.down_proj	0	mlp.down_proj	75	1	1	1	1	1	1	1	-0.000422334	-0.000597987	-0.000246682	0.03765	0.0079	0.0674	0.1351			7.01435e-05	8.44933e-05	0.000316143	0	-2.25899e-06	-3.33505e-05	2.88325e-05				0.1351			-0.00177145	-0.00128436	-0.000164568	0	-0.000386105	-0.000553536	-0.000218673	0.03935	0.0123	0.0664	0.1351			6.32852e-05	8.1405e-05	0.000423908	0
layers.0.mlp.down_proj	0	mlp.down_proj	77	1	1	1	1	1	1	1	-0.000271406	-0.000364959	-0.000177852	0.04785	0.021	0.0747	0.1353			-1.08965e-05	3.51295e-05	0.000306368	0	1.0816e-05	-4.05074e-05	6.21394e-05				0.1337			-0.00162792	-0.00106215	0.000152111	0	-0.000254444	-0.00034861	-0.000160279	0.049	0.0246	0.0734	0.1351			3.14787e-05	1.39326e-05	-0.000380993	0
layers.0.mlp.down_proj	0	mlp.down_proj	81	1	1	1	1	1	1	1	-0.00150046	-0.000872981	-0.00212794	0.06395	0.0454	0.0825	0.19			0.00012809	0.000239551	0.00152111	-0.00195312	-0.000284496	-1.02289e-05	-0.000558763				0.19			-0.0109258	-0.00881696	0.000580847	0	-0.00135338	-0.000874877	-0.00183188	0.0629	0.0435	0.0823	0.19			0.000382535	0.0005254	0.00319481	-0.00390625
layers.0.mlp.down_proj	0	mlp.down_proj	85	1	1	1	1	1	1	1	-1.37779e-05	-4.59051e-05	1.83493e-05	0.0324	0.0242	0.0406	0.07855			-2.98768e-06	-7.01472e-06	0.000337362	0	2.24854e-05	-1.38196e-05	5.87904e-05				0.0785			-0.000748634	-0.000522852	0.00035423	0	-3.93266e-06	-3.9236e-05	3.13707e-05	0.0345	0.0274	0.0416	0.0785			-4.75273e-05	-6.81952e-05	-0.000376701	0
layers.0.mlp.down_proj	0	mlp.down_proj	87	1	1	1	1	1	1	1	0.000140866	3.83888e-05	0.000243344	0.0924	0.0765	0.1083	0.1445			7.0706e-06	6.10091e-05	5.48363e-05	0	-3.90097e-05	-5.09552e-05	-2.70642e-05				0.1233			-0.00191975	-0.0014565	6.93202e-05	0	0.000107308	3.35976e-05	0.000181019	0.0927	0.0794	0.106	0.1444			7.30753e-05	0.000104472	0.000376701	0
